Stichtag;Raum;Anteil der Einpersonenhaushalte an allen Haushalten;Anteil der Senioren-Einpersonenhaushalte an alle Einpersonenhaushalte;Anteil der Haushalte mit Kindern an alle Haushalte;Anteil der Haushalte mit überwiegender Migrationsvorgeschichte an allen Haushalten;Durchschnittliche Haushaltegröße
31.12.2018;9 Hiltrup;40,94;18,83;21,26;27,19;2,06
31.12.2011;Münster;53,05;10,14;16,47;20,27;1,82
31.12.2012;Münster;53,05;10,28;16,54;20,45;1,82
31.12.2013;Münster;53,37;10,45;16,31;20,79;1,81
31.12.2014;Münster;53,5;10,77;16,3;21,02;1,8
31.12.2015;Münster;53,72;10,85;16,3;21,67;1,8
31.12.2016;Münster;53,58;11,05;16,25;21,93;1,81
31.12.2017;Münster;53,72;11,05;16,1;22,03;1,8
31.12.2018;Münster;53,59;11,09;16,12;22,14;1,81
31.12.2014;11 Aegidii;70,28;9,79;8,03;16,48;1,44
31.12.2014;12 Überwasser;76,45;6,03;4,91;16;1,31
31.12.2014;13 Dom;75,91;5,81;4,48;16,39;1,33
31.12.2014;14 Buddenturm;74,51;3,97;5,6;15,36;1,36
31.12.2014;15 Martini;74,68;8,21;5,94;16,07;1,34
31.12.2014;21 Pluggendorf;73,23;6,52;5,7;15,63;1,35
31.12.2014;22 Josef;70,96;6,48;6,43;13,54;1,4
31.12.2014;23 Bahnhof;77,48;3,2;4,03;22,52;1,29
31.12.2014;24 Hansaplatz;74,78;4,45;6,95;14,63;1,36
31.12.2014;25 Mauritz-West;69,27;5,23;9,6;12,45;1,46
31.12.2014;26 Schlachthof;60,79;10,51;14,47;16,53;1,65
31.12.2014;27 Kreuz;66,9;7,62;10,05;11,69;1,51
31.12.2014;28 Neutor;69,59;3,49;6,52;19,39;1,43
31.12.2014;29 Schloss;62,99;8,15;9,89;16,17;1,55
31.12.2014;31 Aaseestadt;52,24;17,72;14,45;21,14;1,75
31.12.2014;32 Geist;59,53;10,37;14,38;17,35;1,64
31.12.2014;33 Schützenhof;68,75;6,07;10,16;18,47;1,48
31.12.2014;34 Düesberg;47,58;15,33;18,22;16,69;1,94
31.12.2014;43 Hafen;75,77;4,42;5,93;19,07;1,35
31.12.2014;44 Herz-Jesu;67,57;8,21;9,67;14,1;1,5
31.12.2014;45 Mauritz-Mitte;60,31;13,12;12,78;14,14;1,63
31.12.2014;46 Rumphorst;48,48;15,86;18,28;17,53;1,9
31.12.2014;47 Uppenberg;61,98;8,64;14,65;21,55;1,64
31.12.2014;51 Gievenbeck;48,15;6,01;20,08;30,64;1,95
31.12.2014;52 Sentrup;63,04;6,01;11,53;17,1;1,65
31.12.2014;54 Mecklenbeck;44,41;14,28;18,57;21,67;1,99
31.12.2014;56 Albachten;29,55;17,86;30,34;25,88;2,41
31.12.2014;57 Roxel;43,57;12,22;23,05;22,48;2,08
31.12.2014;58 Nienberge;46,17;12,48;17,18;20,23;1,97
31.12.2014;61 Coerde;40,87;18,52;26,14;45,84;2,14
31.12.2014;62 Kinderhaus-Ost;49,98;12,11;18,41;26,23;1,87
31.12.2014;63 Kinderhaus-West;39,72;17,21;21,89;36,83;2,12
31.12.2014;68 Sprakel;34,77;19,96;24,69;21,84;2,24
31.12.2014;71 Mauritz-Ost;46,41;18,75;18,2;14,84;1,92
31.12.2014;76 Gelmer-Dyckburg;36,07;12,52;24,48;18,54;2,19
31.12.2014;77 Handorf;33,77;23,63;25,59;19,03;2,24
31.12.2014;81 Gremmendorf-West;44,69;12,43;20,74;24,81;2,02
31.12.2014;82 Gremmendorf-Ost;40,82;16,47;23,06;20,07;2,09
31.12.2014;86 Angelmodde;42,88;17,04;22,25;30,31;2,03
31.12.2014;87 Wolbeck;37,38;19,62;22,83;17,98;2,12
31.12.2014;91 Berg Fidel;40,56;17,25;22,94;44,38;2,09
31.12.2014;95 Hiltrup-Ost;34,69;20,27;19,47;18,74;2,11
31.12.2014;96 Hiltrup-Mitte;48,8;17,18;17,87;21,78;1,84
31.12.2014;97 Hiltrup-West;36,21;11,43;24,52;27,09;2,17
31.12.2014;98 Amelsbüren;29,93;21,46;30,59;21,41;2,43
31.12.2015;11 Aegidii;67,88;10,09;8,78;15,95;1,48
31.12.2015;12 Überwasser;77,43;5,66;4,67;15,43;1,3
31.12.2015;13 Dom;75,48;6,1;4,54;16,61;1,35
31.12.2015;14 Buddenturm;72,51;4,46;6,28;17,66;1,41
31.12.2015;15 Martini;76,64;8,67;6,08;15,57;1,31
31.12.2015;21 Pluggendorf;73,52;6,5;5,81;16,43;1,35
31.12.2015;22 Josef;71,51;6,21;6,74;13,88;1,39
31.12.2015;23 Bahnhof;77,62;3,41;4,27;23,8;1,3
31.12.2015;24 Hansaplatz;73,52;4,65;7,38;14,49;1,38
31.12.2015;25 Mauritz-West;68,49;5,25;9,81;13,43;1,48
31.12.2015;26 Schlachthof;61,15;11,35;14,38;16,08;1,65
31.12.2015;27 Kreuz;66,96;7,77;10,51;12,04;1,51
31.12.2015;28 Neutor;69,88;3,38;6,56;20,56;1,42
31.12.2015;29 Schloss;64,71;7,93;9,35;14,93;1,53
31.12.2015;31 Aaseestadt;52,76;16,86;14,13;20,96;1,75
31.12.2015;32 Geist;60,09;10,44;13,89;17,97;1,64
31.12.2015;33 Schützenhof;68,44;5,84;10,52;19,45;1,49
31.12.2015;34 Düesberg;47,92;15,54;17,8;17,08;1,93
31.12.2015;43 Hafen;76,06;3,55;5,28;16,73;1,32
31.12.2015;44 Herz-Jesu;67,55;7,85;9,46;14,16;1,49
31.12.2015;45 Mauritz-Mitte;61,15;12,66;12,44;14,27;1,61
31.12.2015;46 Rumphorst;49,54;15,48;18,42;18,37;1,88
31.12.2015;47 Uppenberg;61,3;7,15;15,13;21,67;1,65
31.12.2015;51 Gievenbeck;49,02;5,88;19,82;31,94;1,94
31.12.2015;52 Sentrup;63,73;6,17;11,71;17,72;1,64
31.12.2015;54 Mecklenbeck;46,38;13,59;17,75;21,57;1,95
