Name,Long,Lat
Davertstraße,7.6061999,51.8831237
Universitätsklinikum,7.5930996,51.9613171
Hauptbahnhof,7.6342718,51.9574271
Universitätsklinikum,7.5944345,51.9617935
Haus Angelmodde,7.7029515,51.9197237
Handorf Mitte,7.6986077,51.9872584
Mariendorf West,7.6684174,51.9873909
Dorbaum,7.7097269,51.9985633
In der Stroth,7.7144097,51.9988343
Hautklinik,7.5910283,51.9652704
Lise-Meitner-Straße,7.5298573,51.9448391
Dachsleite,7.6470293,51.9973402
Kinderhaus Schulzentrum,7.6043014,51.9970789
Von-Humboldt-Straße,7.6056727,52.0010354
Meerwiese / Begegnungszentrum,7.6479614,51.9881422
Am Burloh,7.6125029,51.9939558
Kristiansandstraße,7.612476,51.9978977
Dreizehnerstraße,7.611836,51.9827591
Ermlandweg,7.6112364,51.9887022
Meßkamp,7.6120949,51.9794595
Rüschhausweg,7.5654501,51.9738512
Rüschhausweg,7.5649088,51.9739696
Braseweg,7.6445045,51.9801048
Alter Steinweg,7.6314231,51.9622013
Am Schütthook,7.6848318,51.9140992
Theodor-Heuss-Straße,7.6948886,51.9113565
Abzweig Wilkinghege,7.589066,51.9837297
Orléans-Ring,7.6075734,51.9727206
Orléans-Ring,7.6077127,51.9727588
Orléans-Ring,7.607545,51.9739473
Technologiepark,7.6007079,51.9770084
Schifffahrter Damm,7.6549516,51.9679141
Wiener Straße,7.6511659,51.9682181
Aegidiimarkt / LWL-Museum,7.6229295,51.9609759
Gremmendorf Ehrenmal,7.674935,51.9303229
Pulverschuppen,7.6690404,51.9693077
Marktallee,7.6456886,51.904314
Hülsebrockstraße,7.6396873,51.9073451
Hansestraße,7.6234765,51.893495
Rüschhausweg,7.5654657,51.9725994
Dieckmannstraße,7.5719535,51.9573493
Dieckmannstraße,7.5732827,51.9574639
Dieckmannstraße,7.5718022,51.9580692
Aegidiimarkt / LWL-Museum,7.6237373,51.96022
Schützenstraße,7.6214981,51.9584929
Danziger Freiheit,7.6576885,51.9672294
Ringstraße,7.6608902,51.9060903
Sankt Anna-Kirche,7.5793894,51.930919
Roxel Bahnhof,7.5264611,51.9463286
Willy-Brandt-Weg,7.6528654,51.9391963
Deipenfohr,7.5816952,51.9605057
Fronhof,7.7487116,51.9152777
Fronhof,7.748849,51.9153588
Markfort,7.7580654,51.9143338
Markfort,7.7579963,51.9144227
Raringheide,7.6206384,51.8873999
Körberheide,7.7144657,51.9780802
Körberheide,7.7156249,51.9781143
Alter Mühlenweg,7.7042878,51.9762333
Alter Mühlenweg,7.7064282,51.9768546
Stadtwerke / Hafen,7.6373366,51.9503725
Umgehungsstraße,7.6359742,51.9370885
Verth,7.727822,52.0105836
Fundfahrrad-Station,7.6358592,51.942826
Kolpingstraße,7.6343699,51.9700996
Gievenbeck Kaserne,7.5759271,51.9589427
Am Burloh,7.6120681,51.9928964
Rottkamp,7.5191423,51.9250156
Rottkamp,7.5197636,51.9250588
Buckstraße,7.6059988,51.9381145
Hörstertor,7.6343303,51.966118
Hörstertor,7.6341836,51.9659649
Höltenweg,7.6503057,51.9250896
Austermannstraße,7.5947305,51.9764408
Sporthalle Nienberge,7.5503897,51.999717
Von-Flotow-Straße,7.6464831,51.9083421
Meßkamp,7.611935,51.9795267
Davertstraße,7.605959,51.8828986
Pater-Kolbe-Straße,7.6158933,51.8829202
Hünenburg,7.6240884,51.9107851
Flandernstraße,7.6308196,51.9735367
Langemarckstraße,7.6300192,51.973635
Bertha-von-Suttner Weg,7.6478778,51.9356322
Toppheide,7.5704773,51.9751008
Idenbrockplatz,7.6001583,51.9963915
Abzweig Wilkinghege,7.5889397,51.9845237
Wilkinghege,7.5886004,51.9868501
Wilkinghege,7.589639,51.9870206
Helmholtzweg,7.5943329,51.9887561
Eimermacherweg,7.597972,51.9921031
Königsberger Straße,7.6473793,51.9928938
Cheruskerring,7.6244483,51.9746228
Kolde-Ring / LVM,7.6154834,51.9499226
Kolde-Ring / LVM,7.6154783,51.9499657
Kolde-Ring / LVM,7.6171843,51.9500948
Kolde-Ring / LVM,7.6173036,51.9500771
Weserstraße,7.6595718,51.9702538
Oderstraße,7.6618273,51.9713354
Ruhrstraße,7.6585818,51.9719176
Eucon,7.6554461,51.9363693
Picasso-Museum,7.6261407,51.9605146
Roxel Alte Dorfstraße,7.5324074,51.9549749
Roxel Hallenbad,7.5266241,51.9539242
Pienersallee,7.530509,51.9514803
Stellmacherweg,7.5273928,51.9483559
Schelmenstiege,7.5421852,51.9550334
Schelmenstiege,7.5412405,51.9552592
P+R Coesfelder Kreuz,7.601797,51.9659074
Försterstraße,7.6071281,51.9665894
Schlossplatz,7.617844,51.9645621
Prinzipalmarkt,7.6283819,51.9625384
Eisenbahnstraße,7.6351793,51.9609201
Eisenbahnstraße,7.6353552,51.9617554
Ludgeriplatz,7.6268606,51.9562093
Goebenstraße,7.6255942,51.9528401
Metzer Straße,7.6236712,51.9425346
Königsweg,7.6243068,51.9397433
Königsweg,7.6245984,51.939196
Düesbergweg,7.6254735,51.9351173
Düesbergweg,7.6257507,51.9346328
P+R Preußenstadion,7.6260746,51.9318122
